timestamp_utc,session_count,mem_available_mib,swap_used_mib,load1,container,cpu_percent,mem_used_mib,pids
2026-07-03T02:20:46Z,6,10183,0,2.59,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.33,494.80,27
2026-07-03T02:20:46Z,6,10183,0,2.59,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,69.45,715.20,27
2026-07-03T02:20:46Z,6,10183,0,2.59,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,54.09,495.50,27
2026-07-03T02:20:46Z,6,10183,0,2.59,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,41.16,424.50,27
2026-07-03T02:20:46Z,6,10183,0,2.59,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,53.79,496.50,27
2026-07-03T02:20:46Z,6,10183,0,2.59,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,89.65,1236.99,27
2026-07-03T02:20:51Z,6,9683,0,2.55,cgv-shinyproxy,0.91,580.30,128
2026-07-03T02:20:51Z,6,9683,0,2.55,cgv-nginx,0.00,7.07,9
2026-07-03T02:20:51Z,6,9683,0,2.55,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.31,494.80,27
2026-07-03T02:20:51Z,6,9683,0,2.55,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,71.97,1064.96,27
2026-07-03T02:20:51Z,6,9683,0,2.55,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,49.64,495.50,27
2026-07-03T02:20:51Z,6,9683,0,2.55,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,37.77,424.50,27
2026-07-03T02:20:51Z,6,9683,0,2.55,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,49.36,496.50,27
2026-07-03T02:20:51Z,6,9683,0,2.55,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,90.34,1442.82,27
2026-07-03T02:20:57Z,6,9224,0,2.50,cgv-shinyproxy,0.91,582.10,129
2026-07-03T02:20:57Z,6,9224,0,2.50,cgv-nginx,0.00,7.07,9
2026-07-03T02:20:57Z,6,9224,0,2.50,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.29,494.80,27
2026-07-03T02:20:57Z,6,9224,0,2.50,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,74.09,1072.13,27
2026-07-03T02:20:57Z,6,9224,0,2.50,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,45.86,495.50,27
2026-07-03T02:20:57Z,6,9224,0,2.50,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,34.89,424.50,27
2026-07-03T02:20:57Z,6,9224,0,2.50,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,45.59,496.50,27
2026-07-03T02:20:57Z,6,9224,0,2.50,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,91.02,1845.25,27
2026-07-03T02:21:02Z,6,9234,0,2.30,cgv-shinyproxy,0.91,582.10,128
2026-07-03T02:21:02Z,6,9234,0,2.30,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:02Z,6,9234,0,2.30,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.27,494.80,27
2026-07-03T02:21:02Z,6,9234,0,2.30,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,69.70,1072.13,27
2026-07-03T02:21:02Z,6,9234,0,2.30,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,42.60,495.50,27
2026-07-03T02:21:02Z,6,9234,0,2.30,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,32.41,424.50,27
2026-07-03T02:21:02Z,6,9234,0,2.30,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,42.35,496.50,27
2026-07-03T02:21:02Z,6,9234,0,2.30,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,84.52,1845.25,27
2026-07-03T02:21:08Z,6,9232,0,2.12,cgv-shinyproxy,0.91,582.10,128
2026-07-03T02:21:08Z,6,9232,0,2.12,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:08Z,6,9232,0,2.12,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.25,494.80,27
2026-07-03T02:21:08Z,6,9232,0,2.12,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,69.17,1078.27,27
2026-07-03T02:21:08Z,6,9232,0,2.12,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,39.81,495.50,27
2026-07-03T02:21:08Z,6,9232,0,2.12,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,30.29,424.50,27
2026-07-03T02:21:08Z,6,9232,0,2.12,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,39.57,496.50,27
2026-07-03T02:21:08Z,6,9232,0,2.12,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,78.96,1845.25,27
2026-07-03T02:21:13Z,6,9192,0,2.02,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:13Z,6,9192,0,2.02,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:13Z,6,9192,0,2.02,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.49,532.00,27
2026-07-03T02:21:13Z,6,9192,0,2.02,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,71.08,1137.66,27
2026-07-03T02:21:13Z,6,9192,0,2.02,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,37.34,495.50,27
2026-07-03T02:21:13Z,6,9192,0,2.02,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,28.40,424.50,27
2026-07-03T02:21:13Z,6,9192,0,2.02,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,37.11,496.50,27
2026-07-03T02:21:13Z,6,9192,0,2.02,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,74.04,1845.25,27
2026-07-03T02:21:19Z,6,8562,0,2.02,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:19Z,6,8562,0,2.02,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:19Z,6,8562,0,2.02,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,4.06,765.60,27
2026-07-03T02:21:19Z,6,8562,0,2.02,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,72.67,1555.46,27
2026-07-03T02:21:19Z,6,8562,0,2.02,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,35.17,495.50,27
2026-07-03T02:21:19Z,6,8562,0,2.02,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,26.75,424.50,27
2026-07-03T02:21:19Z,6,8562,0,2.02,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,34.95,496.50,27
2026-07-03T02:21:19Z,6,8562,0,2.02,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,69.71,1845.25,27
2026-07-03T02:21:25Z,6,8367,0,1.94,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:25Z,6,8367,0,1.94,cgv-nginx,0.00,7.07,9
